;1;2;3;4;5;6;7;8;9;10;Rm-Rf
31.01.1929;0.0491;0.0559;0.0284;0.028;0.0286;0.0426;0.0196;0.0263;0.0682;-0.0159;0.0466
28.02.1929;0.0011;-0.0044;0.0015;0.011;0.0267;-0.018;0.0201;-0.0124;0.0137;0.0579;-0.0034
29.03.1929;-0.0094;-0.0104;-0.0184;-0.0307;-0.027;-0.0392;-0.0335;-0.0526;-0.0117;-0.0207;-0.0089
30.04.1929;-0.0016;0.018;0.0107;0.0168;-0.0037;0.046;0.0198;-0.0033;0.0299;-0.0219;0.0143
31.05.1929;0.0031;-0.0581;-0.0528;-0.0504;-0.097;-0.0669;-0.1095;-0.1709;-0.1427;-0.1442;-0.0639
28.06.1929;0.0525;0.0873;0.0897;0.0775;0.0667;0.1304;0.0738;0.0973;0.0705;0.0631;0.0970
31.07.1929;0.0607;0.023;0.0333;0.028;0.0279;0.0151;-0.004;-0.009;-0.0315;-0.0177;0.0446
30.08.1929;0.0551;0.054;0.0944;0.0308;0.0117;0.0312;0.0203;0.0118;0.0338;-0.0358;0.0818
30.09.1929;-0.0478;-0.0473;-0.019;-0.0264;-0.0288;-0.0374;-0.037;-0.0801;-0.0373;-0.1326;-0.0547
31.10.1929;-0.0606;-0.119;-0.1586;-0.1923;-0.1933;-0.2049;-0.2709;-0.2589;-0.2868;-0.2773;-0.2012
29.11.1929;-0.0565;-0.0893;-0.1091;-0.1171;-0.1293;-0.1584;-0.1502;-0.1229;-0.126;-0.1419;-0.1274
31.12.1929;-0.0046;-0.0025;-0.0016;-0.0042;-0.0295;-0.0219;-0.0196;-0.0472;-0.0364;-0.0651;0.0133
31.01.1930;0.038;0.0471;0.0382;0.0781;0.0766;0.1212;0.1988;0.1418;0.1818;0.1754;0.0561
28.02.1930;0.0146;0.0156;0.0139;0.0222;0.0328;0.0105;0.0467;0.0574;0.0164;0.0739;0.0250
31.03.1930;0.0318;0.0521;0.0652;0.0798;0.1235;0.1113;0.1243;0.0925;0.1369;0.1557;0.0710
30.04.1930;-0.0482;-0.0331;-0.0393;-0.0332;-0.0722;-0.0591;-0.05;-0.0016;-0.044;-0.0971;-0.0206
30.05.1930;-0.0103;-0.0161;-0.0074;-0.0193;-0.0227;-0.0335;-0.0251;-0.0379;-0.0551;-0.098;-0.0166
30.06.1930;-0.0874;-0.1079;-0.1519;-0.1461;-0.1958;-0.2065;-0.2061;-0.2321;-0.2391;-0.284;-0.1627
31.07.1930;0.022;0.0269;0.0199;0.0549;0.0366;0.0687;0.0528;0.0231;0.0701;0.0368;0.0412
29.08.1930;0.0001;0.0103;-0.003;-0.0193;0.0047;-0.0282;-0.0383;-0.0275;-0.0297;-0.0614;0.0030
30.09.1930;-0.0831;-0.0926;-0.1057;-0.1291;-0.152;-0.1654;-0.1994;-0.1856;-0.2243;-0.2289;-0.1275
31.10.1930;-0.0579;-0.0698;-0.071;-0.0966;-0.0824;-0.117;-0.1267;-0.1197;-0.1081;-0.1374;-0.0878
28.11.1930;-0.0281;-0.0119;-0.0316;-0.0301;-0.0237;-0.0108;0.0117;-0.0445;-0.0321;-0.0166;-0.0304
31.12.1930;-0.0947;-0.0721;-0.0953;-0.1342;-0.0995;-0.1375;-0.1545;-0.1636;-0.1607;-0.2167;-0.0783
30.01.1931;0.0806;0.0739;0.0958;0.1055;0.109;0.1266;0.1396;0.1271;0.1953;0.2667;0.0624
